,name_id,term,name,sex,party,partyGroup,areaName,onboardDate,leaveFlag,leaveDate,leaveReason,party_num,party_group_num,birth_date,age,place_of_birth,degree,incumbent,valid_votes,total_votes,electorate,pop,electorate_over_pop_pct,total_votes_over_electorate_pct,elected_over_cands_pct,vote,vote_over_total_votes_pct,vote_margin,vote_over_total_votes_pct_margin,constituency,tier,lnpopudensity,experience,defect_date,defect_period,president,vice_president
59,151,8,王金平,1,中國國民黨,中國國民黨,全國不分區及僑居國外國民,2012-02-01,否,,,1,1,1941-03-17,71,高雄市,3,1,,,,,,,,,,,,全國不分區及僑居國外國民,2,,6,,,1,0
60,153,8,田秋堇,2,民主進步黨,民主進步黨,全國不分區及僑居國外國民,2012-02-01,否,,,16,16,1954-05-27,58,臺北市,3,1,,,,,,,,,,,,全國不分區及僑居國外國民,2,,2,,,0,0
61,154,8,盧嘉辰,1,中國國民黨,中國國民黨,新北市第10選舉區,2012-02-01,否,,,1,1,1953-01-01,59,新北市,5,1,187885,191292,257744,338042,76.25,74.22,20.0,89570,47.67,8050,4.289999999999999,新北市10,1,8.358307838439941,1,,,0,0
62,155,8,盧秀燕,2,中國國民黨,中國國民黨,台中市第5選舉區,2012-02-01,否,,,1,1,1961-08-31,51,臺灣省,5,1,224341,227195,301357,394146,76.46,75.39,33.33,129822,57.86,38029,16.950000000000003,臺中市5,1,9.366521835327148,4,,,0,0
63,157,8,管碧玲,2,民主進步黨,民主進步黨,高雄市第5選舉區,2012-02-01,否,,,16,16,1956-12-09,56,臺中市,6,1,165098,167092,219956,273466,80.43,75.97,25.0,92043,55.75,21147,12.810000000000002,高雄市5,1,9.368345260620115,2,,,0,0
64,158,8,簡東明,1,中國國民黨,中國國民黨,山地原住民,2012-02-01,否,,,1,1,1951-06-04,61,臺灣省,3,1,,,,,,,,,,,,山地原住民,4,,1,,,0,0
65,160,8,紀國棟,1,中國國民黨,中國國民黨,全國不分區及僑居國外國民,2012-02-01,是,2015-07-16,依104年7月16日台立人字第1041401162號函因喪失其所屬中國國民黨黨籍，本院於104年7月16日起註銷名籍。,1,1,1960-05-16,52,臺灣省,5,1,,,,,,,,,,,,全國不分區及僑居國外國民,2,,3,,,0,0
66,161,8,羅明才,1,中國國民黨,中國國民黨,新北市第11選舉區,2012-02-01,否,,,1,1,1967-01-15,45,臺灣省,5,1,198932,205888,270338,334345,80.86,76.16,50.0,132426,66.56,65920,33.13,新北市11,1,6.600414752960205,4,,,0,0
67,162,8,羅淑蕾,2,中國國民黨,中國國民黨,台北市第3選舉區,2012-02-01,否,,,1,1,1952-11-28,60,臺北市,3,1,211343,214244,280311,351246,79.8,76.43,33.33,118503,56.07,29086,13.770000000000003,臺北市3,1,9.90584659576416,2,,,0,0
68,165,8,翁重鈞,1,中國國民黨,中國國民黨,嘉義縣第1選舉區,2012-02-01,否,,,1,1,1955-05-31,57,臺灣省,5,1,146067,149812,202958,252143,80.49,73.81,50.0,73481,50.3,895,0.6099999999999994,嘉義縣1,1,6.185158729553223,5,,,0,0
69,168,8,莊瑞雄,1,民主進步黨,民主進步黨,屏東縣第3選舉區,2015-02-16,否,,,16,16,1963-04-20,51,臺灣省,5,2,65256,65570,202129,256898,78.68,25.52,25.0,43988,67.41,23361,35.8,屏東縣3,1,6.291550636291504,0,,,0,0
70,171,8,葉宜津,2,民主進步黨,民主進步黨,台南市第1選舉區,2012-02-01,否,,,16,16,1960-08-21,52,臺南市,5,1,191204,195530,274597,338698,81.07,71.21,33.33,120623,63.08,74201,38.81,臺南市1,1,6.267124652862549,4,,,0,0
71,172,8,葉津鈴,2,台灣團結聯盟,台灣團結聯盟,全國不分區及僑居國外國民,2013-07-26,否,,,95,95,1947-03-14,65,臺灣省,2,2,,,,,,,,,,,,全國不分區及僑居國外國民,2,,0,,,0,0
72,173,8,蔡其昌,1,民主進步黨,民主進步黨,台中市第1選舉區,2012-02-01,否,,,16,16,1969-04-16,43,臺中市,5,2,149735,153015,204803,269639,75.95,74.71,33.33,81669,54.54,16231,10.839999999999996,臺中市1,1,6.952317237854004,1,,,0,0
73,178,8,蔡正元,1,中國國民黨,中國國民黨,台北市第4選舉區,2012-02-01,否,,,1,1,1953-12-25,59,臺灣省,5,1,230695,233561,299527,387948,77.21,77.98,25.0,111260,48.22,33163,14.369999999999997,臺北市4,1,8.841773986816406,3,,,0,0
74,179,8,蔡煌瑯,1,民主進步黨,民主進步黨,全國不分區及僑居國外國民,2012-02-01,否,,,16,16,1960-07-05,52,臺灣省,3,1,,,,,,,,,,,,全國不分區及僑居國外國民,2,,5,,,0,0
75,181,8,蔡錦隆,1,中國國民黨,中國國民黨,台中市第4選舉區,2012-02-01,否,,,1,1,1958-03-01,54,臺中市,5,1,199005,201829,263073,362790,72.51,76.72,25.0,101702,51.1,9489,4.770000000000003,臺中市4,1,8.55213928222656,2,,,0,0
76,182,8,蔣乃辛,1,中國國民黨,中國國民黨,台北市第6選舉區,2012-02-01,否,,,1,1,1948-09-24,64,其他,5,1,180732,183530,243199,312878,77.73,75.46,11.11,108488,60.02,54375,30.080000000000002,臺北市6,1,10.22416877746582,1,,,0,0
77,187,8,蕭美琴,2,民主進步黨,民主進步黨,全國不分區及僑居國外國民,2012-02-01,否,,,16,16,1971-08-07,41,其他,5,2,,,,,,,,,,,,全國不分區及僑居國外國民,2,,2,,,0,0
78,188,8,薛凌,2,民主進步黨,民主進步黨,全國不分區及僑居國外國民,2012-02-01,否,,,16,16,1954-01-02,58,臺中市,1,1,,,,,,,,,,,,全國不分區及僑居國外國民,2,,2,,,0,0
79,192,8,蘇清泉,1,中國國民黨,中國國民黨,全國不分區及僑居國外國民,2012-02-01,否,,,1,1,1957-08-05,55,臺灣省,6,2,,,,,,,,,,,,全國不分區及僑居國外國民,2,,0,,,0,0
80,193,8,蘇震清,1,民主進步黨,民主進步黨,屏東縣第1選舉區,2012-02-01,否,,,16,16,1965-02-02,47,臺灣省,5,1,162419,165701,225734,280766,80.4,73.41,25.0,94538,58.2,39377,24.240000000000002,屏東縣1,1,6.051806926727295,1,,,0,0
81,194,8,許忠信,1,台灣團結聯盟,台灣團結聯盟,全國不分區及僑居國外國民,2012-02-01,是,2014-02-01,依103年1月27日台立人字第1031400173號函自103年02月01日辭去立法委員職務。,95,95,1965-06-01,47,臺南市,6,2,,,,,,,,,,,,全國不分區及僑居國外國民,2,,0,,,0,0
82,195,8,許智傑,1,民主進步黨,民主進步黨,高雄市第8選舉區,2012-02-01,否,,,16,16,1966-01-05,46,臺灣省,5,2,200694,203173,266958,342948,77.84,76.11,20.0,104292,51.96,14106,7.030000000000001,高雄市8,1,9.422904014587402,0,,,0,0
83,197,8,許淑華,2,中國國民黨,中國國民黨,南投縣第2選舉區,2015-02-16,否,,,1,1,1975-10-15,39,臺灣省,5,2,75692,76132,205390,258867,79.34,29.409999999999997,33.33,38694,51.12,3756,4.96,南投縣2,1,5.994684219360352,0,,,0,0
84,198,8,許添財,1,民主進步黨,民主進步黨,台南市第4選舉區,2012-02-01,否,,,16,16,1951-01-23,61,臺南市,5,1,217705,220971,294356,382265,77.0,75.07,50.0,115439,53.02,13173,6.050000000000004,臺南市4,1,9.0323486328125,4,,,0,0
85,200,8,詹凱臣,1,中國國民黨,中國國民黨,全國不分區及僑居國外國民,2012-02-01,否,,,1,1,1951-05-11,61,臺北市,3,2,,,,,,,,,,,,全國不分區及僑居國外國民,2,,0,,,0,0
86,201,8,詹滿容,2,中國國民黨,中國國民黨,全國不分區及僑居國外國民,2015-07-20,否,,,1,1,1956-06-09,56,臺北市,6,2,,,,,,,,,,,,全國不分區及僑居國外國民,2,,0,,,0,0
87,202,8,謝國樑,1,中國國民黨,中國國民黨,基隆市選舉區,2012-02-01,否,,,1,1,1975-10-05,37,臺灣省,5,1,210321,213341,294776,371209,79.41,72.37,20.0,110196,52.39,25709,12.219999999999999,基隆市,1,8.471088409423828,2,,,0,0
88,205,8,費鴻泰,1,中國國民黨,中國國民黨,台北市第7選舉區,2012-02-01,否,,,1,1,1954-07-07,58,臺北市,6,1,181055,185858,242933,306476,79.27,76.51,20.0,114009,62.96,70560,38.97,臺北市7,1,10.003687858581545,2,,,0,0
